[2023-04-21 13:58:28,986] Pre-Condition - Step 01: Navigate to 'Register' page
[2023-04-21 13:58:29,683] Pre-Condition - Step 02: Enter to Firstname textbox with value is: Automation
[2023-04-21 13:58:30,004] Pre-Condition - Step 03: Enter to LastName textbox with value is: FC
[2023-04-21 13:58:30,560] Pre-Condition - Step 04: Enter to Email textbox with value is: yentran93498@gmail.com
[2023-04-21 13:58:30,839] Pre-Condition - Step 05: Enter to Password textbox with value is: 123456
[2023-04-21 13:58:31,058] Pre-Condition - Step 06: Enter to ConfirmPassword textbox with value is: 123456
[2023-04-21 13:58:31,292] Pre-Condition - Step 07: Click to 'Register' button
[2023-04-21 13:58:32,110] Pre-Condition - Step 07: Verify register success message is displayed
[2023-04-21 13:58:32,208] Pre-Condition - Step 09: Navigate to 'Login' page
[2023-04-21 13:58:32,733] Pre-Conditionin - Step 10: Enter to Email textbox with value is: yentran93498@gmail.com
[2023-04-21 13:58:33,052] Pre-Condition - Step 11: Enter to Password textbox with value is: 123456
[2023-04-21 13:58:33,683] Pre-Condition - Step 12: Click to 'Login' button
[2023-04-21 13:58:35,698] Pre-Condition - Step 13: Verify 'Customer info' page is displayed
[2023-04-21 13:58:37,431] OS name = Windows 10
[2023-04-21 13:58:37,432] Driver instance name = chromedriver: chrome on windows (8256dc98a263dcde9436306ef102fb6c)
